Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,IYF,UYG,IYF,UYG,IYF,UYG,IYF,UYG,IYF,UYG,IYF,UYG
Date,,,,,,,,,,,,
2008-08-01 00:00:00+00:00,27.486173629760742,31.135263442993164,36.3849983215332,36.75,36.55500030517578,37.08333206176758,35.334999084472656,34.650001525878906,36.34000015258789,36.66666793823242,16441800,35034420
2008-08-04 00:00:00+00:00,27.142459869384766,30.288036346435547,35.93000030517578,35.75,36.42499923706055,36.79999923706055,35.3849983215332,34.68333435058594,35.939998626708984,35.849998474121094,9906000,30398340
2008-08-05 00:00:00+00:00,28.328474044799805,32.985015869140625,37.5,38.93333435058594,37.57500076293945,39.116668701171875,36.2599983215332,36.45000076293945,36.474998474121094,36.91666793823242,18055400,29743500
2008-08-06 00:00:00+00:00,28.158506393432617,32.73085403442383,37.275001525878906,38.633331298828125,37.525001525878906,38.983333587646484,36.720001220703125,37.31666564941406,37.05500030517578,37.95000076293945,12176200,31408200
2008-08-07 00:00:00+00:00,27.010257720947266,30.019756317138672,35.755001068115234,35.43333435058594,37.005001068115234,37.900001525878906,35.38999938964844,34.56666564941406,36.60499954223633,37.08333206176758,12474600,32333040
2008-08-08 00:00:00+00:00,27.78834342956543,31.657703399658203,36.78499984741211,37.366668701171875,37.154998779296875,38.04999923706055,35.435001373291016,34.66666793823242,35.45000076293945,34.70000076293945,12952400,30941220
2008-08-11 00:00:00+00:00,28.381345748901367,32.985015869140625,37.56999969482422,38.93333435058594,38.25,40.29999923706055,36.540000915527344,36.83333206176758,36.80500030517578,37.33333206176758,12655800,32747400
2008-08-12 00:00:00+00:00,27.146224975585938,30.4857120513916,35.935001373291016,35.983333587646484,37.099998474121094,37.983333587646484,35.599998474121094,34.849998474121094,37.064998626708984,37.93333435058594,10508400,32824020
